HomeTeam,AwayTeam,FTR,HST,AST,HAS,HDS,AAS,ADS,Result
Fulham,Arsenal,A,2.0,6.0,1.28,1.649,2.841,1.624,-1
Crystal Palace,Southampton,H,3.0,5.0,0.675,1.056,1.124,1.251,1
Liverpool,Leeds,H,6.0,3.0,2.642,1.352,0.389,0.387,1
West Ham,Newcastle,A,3.0,2.0,1.59,2.004,1.523,1.959,-1
West Brom,Leicester,A,1.0,7.0,1.077,1.741,1.06,0.845,-1
Tottenham,Everton,A,5.0,4.0,2.402,1.766,1.902,1.753,-1
Brighton,Chelsea,A,3.0,5.0,0.314,0.496,2.778,1.332,-1
Sheffield United,Wolves,A,2.0,4.0,0.221,0.306,0.608,0.812,-1
Everton,West Brom,H,7.0,4.0,2.096,1.858,1.041,1.498,1
Leeds,Fulham,H,7.0,6.0,0.273,0.365,1.109,1.609,1
Man United,Crystal Palace,A,4.0,5.0,2.76,1.323,0.924,1.026,-1
Arsenal,West Ham,H,3.0,3.0,2.76,1.498,1.576,1.808,1
Southampton,Tottenham,A,7.0,6.0,1.173,1.333,2.422,1.812,-1
Newcastle,Brighton,A,0.0,6.0,1.69,1.917,0.306,0.413,-1
Chelsea,Liverpool,A,3.0,6.0,2.742,1.333,2.709,1.561,-1
Leicester,Burnley,H,6.0,5.0,0.852,0.876,0.598,0.856,1
Aston Villa,Sheffield United,H,2.0,1.0,1.376,1.717,0.151,0.347,1
Wolves,Man City,A,1.0,9.0,0.587,0.91,2.758,1.601,-1
Brighton,Man United,A,5.0,3.0,0.314,0.496,2.802,1.362,-1
Crystal Palace,Everton,A,1.0,5.0,0.675,1.056,1.902,1.753,-1
West Brom,Chelsea,D,3.0,10.0,1.077,1.741,2.778,1.332,0
Burnley,Southampton,A,2.0,1.0,0.528,0.827,1.124,1.251,-1
Sheffield United,Leeds,A,4.0,9.0,0.221,0.306,0.389,0.387,-1
Tottenham,Newcastle,D,12.0,1.0,2.402,1.766,1.523,1.959,0
Man City,Leicester,A,5.0,7.0,2.786,1.508,1.06,0.845,-1
West Ham,Wolves,H,7.0,2.0,1.59,2.004,0.608,0.812,1
Fulham,Aston Villa,A,3.0,5.0,1.28,1.649,1.649,1.827,-1
Liverpool,Arsenal,H,8.0,3.0,2.642,1.352,2.841,1.624,1
Chelsea,Crystal Palace,H,6.0,0.0,2.742,1.333,0.924,1.026,1
Everton,Brighton,H,6.0,3.0,2.096,1.858,0.306,0.413,1
Leeds,Man City,D,7.0,2.0,0.273,0.365,2.758,1.601,0
Newcastle,Burnley,H,5.0,3.0,1.69,1.917,0.598,0.856,1
Leicester,West Ham,A,0.0,6.0,0.852,0.876,1.576,1.808,-1
Southampton,West Brom,H,7.0,2.0,1.173,1.333,1.041,1.498,1
Arsenal,Sheffield United,H,5.0,2.0,2.76,1.498,0.151,0.347,1
Wolves,Fulham,H,5.0,2.0,0.587,0.91,1.109,1.609,1
Man United,Tottenham,A,2.0,8.0,2.76,1.323,2.422,1.812,-1
Aston Villa,Liverpool,H,11.0,8.0,1.376,1.717,2.709,1.561,1
Everton,Liverpool,D,5.0,8.0,2.096,1.858,2.709,1.561,0
Chelsea,Southampton,D,5.0,6.0,2.742,1.333,1.124,1.251,0
Man City,Arsenal,H,5.0,3.0,2.786,1.508,2.841,1.624,1
Newcastle,Man United,A,4.0,14.0,1.69,1.917,2.802,1.362,-1
Sheffield United,Fulham,D,6.0,6.0,0.221,0.306,1.109,1.609,0
Crystal Palace,Brighton,D,1.0,3.0,0.675,1.056,0.306,0.413,0
Tottenham,West Ham,D,6.0,4.0,2.402,1.766,1.576,1.808,0
